@relation activity_recognition_labeled

@attribute "X8" numeric
@attribute "Z3" numeric
@attribute "ZAVG" numeric
@attribute "XPEAK" numeric
@attribute "ZPEAK" numeric
@attribute "YSTANDDEV" numeric
@attribute class{ "Sitting" , "Active" }

@data
0.09,0.1,0.56,2375,2033.33,8.75,?
0.11,0.08,0.64,3250,1360,9.01,?
0.1,0.12,0.86,1883.33,4225,9.48,?
0.1,0.11,1.39,875,1800,8.45,?
0.1,0.08,1.41,3700,2075,8.96,?
0.09,0.09,0.72,2500,1875,9.3,?
0.14,0.09,1.09,2050,3116.67,8.9,?
0.1,0.07,0.55,2775,1362.5,9.42,?
0.14,0.13,1.88,1257.14,2733.33,9.06,?
0.07,0.09,0.9,1060,750,9.44,?
0.1,0.14,0.79,1633.33,3150,9.12,?
0.02,0.1,0.11,1125,650,9.22,?
0.05,0.08,0.84,2125,1600,4.86,?
0.05,0.15,0.78,2116.67,3166.67,5.05,?
0.1,0.06,0.82,1530,3650,4.92,?
0.05,0.09,0.85,1625,1550,5.26,?
0.1,0.08,0.65,3850,2433.33,5.35,?
0.07,0.08,0.72,4200,1837.5,5.2,?
0.12,0.09,0.82,3600,2083.33,5.06,?
0.13,0.16,0.8,3650,3050,5.05,?
0.07,0.14,0.71,2925,1600,4.97,?
0.12,0.1,0.79,2675,3200,4.85,?
0.09,0.09,0.87,700,2650,4.68,?
0.13,0.09,0.65,2400,2650,4.74,?
0.11,0.09,0.87,3800,1310,4.81,?
0.14,0.08,0.75,2200,4400,4.98,?
0.11,0.06,0.9,1050,4225,4.77,?
0.06,0.07,0.8,3800,1425,4.55,?
0.09,0.1,0.91,3975,2466.67,4.65,?
0.11,0.13,0.79,1433.33,2675,4.61,?
0.08,0.1,0.99,4225,4325,4.59,?
0.07,0.09,0.92,2150,1690,5.04,?
0.13,0.1,0.63,3725,3225,4.81,?
0.14,0.09,0.72,1550,2100,5.14,?
0.1,0.12,0.94,2625,3725,4.89,?
0.1,0.12,0.77,1625,1625,4.88,?
0.11,0.12,0.78,1125,3275,4.81,?
0.11,0.11,1.1,1650,2900,5.03,?
0.08,0.13,0.7,4350,1912.5,4.96,?
0.09,0.13,0.64,1783.33,2675,4.94,?
0.11,0.1,0.6,2125,3225,4.99,?
0.09,0.12,0.84,3275,1833.33,4.75,?
0.15,0.1,0.73,1783.33,2850,4.72,?
0.13,0.09,0.8,1625,2700,4.82,?
0.06,0.1,0.66,1025,2075,4.68,?
0.15,0.13,0.15,1050,1933.33,9.24,?
0.07,0.08,1.28,1590,2350,9,?
0.12,0.1,0.84,1300,1350,9.58,?
0.08,0.07,1.57,1012.5,1450,8.93,?
0.07,0.1,0.07,1725,2012.5,9.68,?
0.11,0.08,-0.63,1475,1875,10.14,?
0.2,0.13,0.8,1750,966.67,9.52,?
0.09,0.09,0.48,2800,2550,9.44,?
0.08,0.09,0.58,2725,1310,9.38,?
0.1,0.08,0.92,1358.33,4525,9.3,?
0.1,0.08,-0.1,1380,1930,9.66,?
0.09,0.07,-0.41,2900,1450,9.6,?
0.08,0.07,0.76,1500,557.14,9.54,?
0.07,0.09,1.02,1650,2400,9.1,?
0.08,0.08,0.27,2166.67,1510,9.78,?
0.12,0.07,0.3,2366.67,3775,9.4,?
0.08,0.12,1.56,1916.67,1362.5,8.79,?
0.06,0.12,0.81,2166.67,1737.5,9.01,?
0.07,0.09,1.46,1625,2950,8.85,?
0.11,0.1,1.27,2866.67,1000,9.55,?
0.16,0.11,0.31,1025,2583.33,8.76,?
0.07,0.15,1.52,2516.67,1371.43,8.57,?
0.1,0.1,0.62,2850,4575,9.02,?
0.09,0.06,0.54,1650,810,9.29,?
0.16,0.11,1.19,3025,3025,9.24,?
0.14,0.13,0.95,1031.25,1212.5,9.61,?
0.15,0.09,1.79,1137.5,1400,8.55,?
0.11,0.13,0.69,1550,3200,8.73,?
0.01,0.18,0.24,200,800,6.94,?
0.12,0.07,1.69,2833.33,3025,5.06,?
0.12,0.07,1.6,625,2983.33,4.37,?
0.07,0.1,1.74,1000,1860,4.34,?
0.06,0.11,1.65,1100,3625,3.69,?
0.12,0.1,1.52,3850,2475,3.91,?
0.12,0.13,1.71,1566.67,2500,3.9,?
0.04,0.01,0.36,166.67,233.33,9.38,?
0.12,0.09,1.86,3325,2075,4,?
0.12,0.09,1.76,2375,2925,3.82,?
0.09,0.08,1.56,2950,1625,3.89,?
0.08,0.13,1.25,2275,475,3.57,?
0.14,0.06,1.72,4050,2700,2.82,?
0.1,0.11,1.72,4075,2983.33,3.47,?
0.03,0.05,0.59,266.67,975,6.59,?
0.08,0.08,1.76,775,2625,4.24,?
0.08,0.1,2,2250,1487.5,3.14,?
0.1,0.11,1.81,2350,1466.67,2.89,?
0.15,0.13,2.1,3150,1966.67,3.01,?
0.09,0.08,1.78,2233.33,3100,2.84,?
0.12,0.12,1.93,1600,1700,2.4,?
0.1,0.08,2.24,2566.67,1540,2.9,?
0.09,0.14,2,3575,1475,2.88,?
0.03,0.01,0.16,350,625,9.16,?
0.13,0.12,2.19,2475,2000,2.48,?
0.08,0.13,1.97,1583.33,2475,2.97,?
0.14,0.08,2.17,1516.67,1616.67,2.69,?
0.12,0.09,2.12,650,3925,2.5,?
0.1,0.1,2.02,1000,3450,2.75,?
0.11,0.14,2.14,3000,1975,2.74,?
0.09,0.09,2.23,600,1200,2.91,?
0.01,0.04,1.01,1675,916.67,6.85,?
0.13,0.09,1.73,2975,2000,3.17,?
0.08,0.1,2,2433.33,2825,3.03,?
0.11,0.13,1.91,3975,4400,2.77,?
0.07,0.11,2.08,4450,1550,2.66,?
0.12,0.11,2.04,1775,2375,2.65,?
0.08,0.12,2.31,2975,2550,2.49,?
0.12,0.06,2.01,1325,2783.33,2.39,?
0.13,0.1,1.97,250,2566.67,3.02,?
0.05,0.05,0.63,150,800,5.94,?
0.08,0.11,2.31,183.33,3025,2.79,?
0.09,0.1,2.33,1475,1000,2.42,?
0.13,0.07,2.23,2383.33,2800,2.41,?
0.11,0.11,2.21,3425,2225,2.59,?
0.09,0.1,2.15,1662.5,2316.67,2.4,?
0.13,0.15,2.1,2650,3575,2.39,?
0.1,0.11,1.87,1525,2450,2.36,?
0,0.11,-0.33,2675,2783.33,8.9,?
0,0.08,0.19,1766.67,1975,7.8,?
0,0.07,1.14,2950,1416.67,8.13,?
0,0.07,0.86,1925,3400,8.02,?
0,0.16,0.3,3525,2087.5,8.1,?
0,0.1,-0.45,2175,2575,8.08,?
0.01,0.08,-0.92,700,1762.5,8.46,?
0.08,0.14,-1.18,461.11,1450,9.42,?
0.11,0.08,-0.64,475,375,9.92,?
0.14,0.11,-0.01,430.95,1900,10.14,?
0.08,0.11,0.12,436.36,4175,9.86,?
0.11,0.11,-1.12,442.11,1450,9.32,?
0.1,0.07,-1.26,421.74,3025,9.19,?
0.11,0.13,-0.55,369.23,1950,9,?
0.12,0.1,-0.37,395.65,2650,8.71,?
0.12,0.1,-0.29,513.16,3900,8.62,?
0.16,0.05,-0.59,433.33,575,8.77,?
0.11,0.04,0.55,482.5,3125,8.7,?
0.09,0.09,-0.22,450,2575,9.38,?
0.14,0.09,-0.98,374,2133.33,9.52,?
0.12,0.09,-0.99,527.78,4050,9.36,?
0.14,0.09,0.13,491.67,2033.33,9.32,?
0.07,0.11,-0.62,431.82,2800,8.42,?
0.12,0.1,-0.18,376.92,2250,8.81,?
0.08,0.11,-0.07,418.18,3075,9.39,?
0.06,0.12,-0.41,459.52,3950,9.03,?
0.13,0.07,-0.78,400,2083.33,8.9,?
0.06,0.11,-0.54,505.56,2583.33,8.62,?
0.08,0.07,-0.49,529.41,3750,9.36,?
0.11,0.09,-0.38,538.89,900,9.31,?
0.1,0.08,-0.76,526.47,3625,9.81,?
0.09,0.16,-1.31,489.47,2850,9.83,?
0.15,0.13,-0.48,520,2450,9.63,?
0.15,0.07,-0.55,507.89,1000,9.33,?
0.09,0.06,-1.13,380,3100,9.92,?
0.18,0.07,0.11,511.11,1300,10.01,?
0.15,0.16,-0.81,497.37,2750,9.34,?
0.16,0.09,0.14,395.65,1275,10.06,?
0.07,0.07,0.09,425,2816.67,8.07,?
0.13,0.08,-0.04,508.82,675,9.3,?
0.09,0.12,-0.44,653.57,1750,9.36,?
0.1,0.14,-0.08,445,933.33,9.11,?
0.11,0.1,-1.14,378,2700,9,?
0.11,0.12,-0.64,571.88,2416.67,8.7,?
0.14,0.12,-0.02,596.67,2200,9.03,?
0.17,0.11,-0.43,502.78,3050,8.64,?
0.1,0.1,0.73,687.5,1125,8.82,?
0.14,0.14,-0.34,386.96,1333.33,8.81,?
0.12,0.1,0.12,429.55,3225,9.05,?
0.15,0.13,-0.29,430.95,2750,8.5,?
0.1,0.16,-0.98,454.76,2916.67,8.91,?
0.1,0.11,-1.47,564.71,1275,9.39,?
0.14,0.11,-0.88,372.92,2775,9.42,?
0.04,0.02,-0.05,675,475,10.12,?
0.04,0.12,-0.55,1366.67,2066.67,3.9,?
0.03,0.06,-0.5,1430,2050,4.04,?
0.05,0.06,-0.51,1575,1225,3.96,?
0.09,0.08,-0.43,1230,1800,4.2,?
0.06,0.16,-0.72,1370,4125,3.44,?
0.07,0.11,-0.49,1940,1325,3.91,?
0.1,0.09,-0.62,2366.67,3375,3.79,?
0.09,0.08,-0.4,1391.67,1583.33,3.78,?
0.12,0.08,-0.4,1270,1133.33,4.14,?
0.1,0.1,-0.48,1630,2025,4.08,?
0.1,0.08,-0.37,1230,2000,4,?
0.12,0.08,-0.38,2075,4400,4.23,?
0.11,0.06,-0.46,1575,2116.67,4.1,?
0.13,0.07,-0.34,3650,2087.5,3.92,?
0.15,0.07,-0.19,1750,1575,3.96,?
0.19,0.09,-0.31,2287.5,2025,4.2,?
0.15,0.08,-0.34,1590,2000,4.25,?
0.11,0.08,-0.13,1512.5,2050,4.42,?
0.09,0.13,-0.1,2075,1625,3.73,?
0.1,0.13,-0.21,1350,2137.5,3.55,?
0.11,0.06,-0.22,1850,3850,3.46,?
0.07,0.07,-0.34,1950,600,3.39,?
0.11,0.12,-0.35,1433.33,2450,3.57,?
0.06,0.15,-0.2,2166.67,2187.5,3.46,?
0.08,0.16,-0.43,1070,1625,3.54,?
0.11,0.16,-0.34,1266.67,1100,3.52,?
0.04,0.11,-0.36,1700,3425,3.1,?
0.08,0.11,-0.45,1228.57,2325,3.43,?
0.07,0.13,-0.27,2150,4525,3.7,?
0.12,0.11,-0.31,1587.5,1566.67,3.74,?
0.07,0.09,-0.3,1416.67,2783.33,3.66,?
0.09,0.1,-0.3,1416.67,3150,3.67,?
0.1,0.12,-0.4,1031.25,2100,3.85,?
0.12,0.18,-0.33,1420,2366.67,3.96,?
0.12,0.13,-0.33,1420,1235.71,4.26,?
0.14,0.07,-0.34,1150,1500,4.32,?
0.12,0.12,-0.11,2683.33,2050,4.04,?
0.14,0.11,-0.23,1307.14,3050,4.26,?
0.12,0.06,-0.25,2033.33,2075,4.27,?
0.12,0.08,-0.28,2525,1140,4.32,?
0.12,0.09,-0.16,1458.33,3700,4.1,?
0.13,0.08,-0.29,1950,587.5,4.44,?
0.11,0.14,-0.2,1180,1200,4.22,?
0.12,0.1,-0.14,1840,2216.67,4.4,?
0.15,0.07,-0.22,1810,4525,4.35,?
0.13,0.06,-0.29,1450,1975,4.61,?
0.12,0.03,-0.06,1271.43,3000,4.95,?
0.13,0.09,-0.18,1640,1366.67,4.14,?
0.09,0.06,-0.1,2300,1150,3.8,?
0.12,0.1,-0.38,1025,775,3.95,?
0.13,0.08,-0.29,1850,520,3.88,?
0.11,0.06,0.12,2100,2783.33,4.04,?
0.08,0.08,-0.13,1541.67,1866.67,3.7,?
0.13,0.09,-0.21,2312.5,1470,3.82,?
0.05,0.07,-0.05,1062.5,975,3.71,?
0.05,0.04,-0.44,2200,2187.5,3.22,?
0.02,0.04,-0.61,475,525,6.89,?
0.1,0.1,-0.21,300,2200,4.1,?
0.1,0.1,-0.01,1925,3525,4.01,?
0,0.01,-0.01,?,?,8.45,?
0.11,0.09,-0.32,1325,2816.67,3.81,?
0,0.04,-0.11,?,?,7.61,?
0.11,0.1,-0.57,2150,1900,4.04,?
0,0,0,?,?,8.75,?
0.1,0.1,-0.37,550,2275,4.09,?
0.09,0.09,-0.09,2200,2625,3.95,?
0.09,0.09,-0.2,325,1650,4.47,?
0.08,0.07,-0.23,2750,2225,4.09,?
0.1,0.09,-0.38,?,1550,4.12,?
0.07,0.08,-0.12,683.33,775,4.9,?
0.08,0.08,-0.29,1600,1162.5,4.78,?
0.07,0.07,-0.02,983.33,1583.33,4.69,?
0.09,0.09,-0.11,550,2300,4.81,?
0.07,0.07,0.01,1125,1650,4.6,?
0.09,0.09,-0.22,1525,2150,5.13,?
0.07,0.06,0.16,1350,2450,5,?
0.09,0.09,-0.14,3225,2800,4.88,?
0.06,0.07,0.13,950,2175,5.5,?
0.09,0.08,-0.05,1950,1475,5.09,?
0.06,0.06,-0.02,725,650,5.85,?
0.09,0.1,-0.35,1500,1225,4.76,?
0.07,0.07,-0.11,825,1525,4.84,?
0.01,0.09,-0.14,2525,875,7.65,?
0.05,0.04,0.61,650,2750,9.96,?
0.02,0.07,0.14,375,1525,8.2,?
0,0.07,0.81,1683.33,950,8.53,?
0.01,0.04,0.44,1175,1500,8.31,?
0,0.09,-0.49,3300,1766.67,8.18,?
0,0.03,-0.44,1450,550,8.28,?
0.01,0.09,0.13,1900,4575,7.95,?
0.04,0.04,0,1950,1408.33,8.16,?
0.01,0.08,0.87,1600,3083.33,8.2,?
0,0.03,0.77,3400,3325,8.67,?
0.01,0.06,0.32,583.33,4575,8.8,?
0,0.12,0.05,1050,2450,7.57,?
0.01,0.07,-2.95,4450,3200,7.85,?
0,0.05,-2.92,1875,1862.5,7.98,?
0,0.06,-3.52,2625,1375,7.15,?
0,0.05,-2.26,1216.67,1850,7.45,?
0.03,0.06,-1.26,625,4400,8.38,?
0,0.08,-1.87,2700,4600,8.43,?
0.01,0.05,-0.94,2500,1850,7.8,?
0.02,0.08,0.64,1975,3050,7.33,?
0.08,0.1,-0.05,650,2300,7.65,?
0.04,0.09,0.14,1850,1150,7.59,?
0.03,0.06,0.74,1725,1612.5,7.75,?
0.04,0.13,0.17,1816.67,2350,6.58,?
0.18,0.12,0.64,485.29,1875,7.7,?
0.14,0.06,-0.48,465,2062.5,8.16,?
0.18,0.12,0.88,397.92,3150,6.64,?
0.15,0.1,-0.33,600,4500,6.2,?
0.14,0.09,-1.98,415.91,3200,7.6,?
0.21,0.1,-0.13,428.57,2400,6.63,?
0.15,0.09,-0.65,450,2366.67,7.19,?
0.18,0.06,-0.45,535.29,750,8.4,?
0.19,0.14,-0.06,374,2375,6.8,?
0.14,0.12,0.05,373.08,3650,6.4,?
0.16,0.17,0.42,467.5,1783.33,6.83,?
0.22,0.17,-0.04,393.75,1000,6.38,?
0.18,0.11,0.23,369.23,1566.67,6.09,?
0.18,0.12,0.14,391.67,2875,6.96,?
0.19,0.1,0.06,361.11,2237.5,6.71,?
0.17,0.11,-0.14,511.11,2716.67,5.99,?
0.17,0.13,-0.57,550,1670,6.49,?
0.15,0.12,-0.21,593.75,1283.33,6.89,?
0.13,0.18,-0.53,472.5,1166.67,6.26,?
0.12,0.17,-0.28,452.38,3125,6.31,?
0.2,0.19,0.56,429.55,375,5.61,?
0.21,0.11,-0.35,397.92,1900,5.51,?
0.21,0.18,-0.23,404.35,3216.67,5.35,?
0.15,0.2,-0.37,310.34,1225,5.57,?
0.19,0.09,-0.31,541.67,2225,4.48,?
0.11,0.12,-0.53,415.22,2175,6.23,?
0.16,0.14,-0.68,323.33,2225,6.65,?
0.22,0.16,-0.05,390,1650,5.87,?
0.24,0.15,-0.39,411.9,975,5.4,?
0.06,0,-0.02,625,900,3.29,?
0.12,0.07,1.45,2275,1100,4.38,?
0.17,0.1,-0.35,1600,3175,3.58,?
0.22,0.12,0.04,3116.67,2750,3.24,?
0.31,0.13,0.06,1166.67,3550,3.04,?
0.4,0.14,0.06,3125,3150,2.88,?
0.1,0.1,-0.29,1366.67,2066.67,3.95,?
0.04,0.09,-0.41,1733.33,2050,4.57,?
0.03,0.09,-0.57,1225,1983.33,4.85,?
0.04,0.1,-0.51,1233.33,2366.67,4.37,?
0.05,0.11,-0.44,1025,2750,4.33,?
0.03,0.08,-0.38,3450,2783.33,4.53,?
0.05,0.1,-0.36,1050,3675,4.44,?
0.09,0.11,-0.51,1333.33,3033.33,4.54,?
0.07,0.13,-0.57,1525,3550,4.46,?
0.1,0.08,-0.51,2766.67,1037.5,4.76,?
0.11,0.12,-0.35,2262.5,3500,4.79,?
0.06,0.11,-0.9,1450,2000,4.71,?
0.07,0.07,-0.58,1025,2050,4.55,?
0.09,0.14,-0.44,2033.33,3075,4.12,?
0.07,0.15,-0.37,2150,3500,4.12,?
0.21,0.15,-0.46,1762.5,1700,3.97,?
0.15,0.1,-0.49,1000,1075,4.13,?
0.06,0.09,-0.11,1075,2650,4.11,?
0.08,0.11,-0.29,1600,2125,3.67,?
0.1,0.12,-0.24,4250,1075,3.54,?
0.04,0.08,-0.02,1066.67,3750,3.8,?
0.05,0.12,-0.19,1283.33,1600,4.23,?
0.1,0.06,-0.23,2650,3150,3.87,?
0.09,0.08,-0.35,2400,2575,4.11,?
0.12,0.1,-0.59,1050,2733.33,3.71,?
0.04,0.06,-0.2,1766.67,2466.67,4.23,?
0.05,0.1,-0.14,1730,2866.67,3.81,?
0.01,0.08,-0.23,3350,1475,4.29,?
0.04,0.1,-0.13,2100,1025,3.95,?
0.1,0.08,-0.22,2600,2600,3.85,?
0.06,0.11,-0.09,2825,1400,4.06,?
0.03,0.12,-0.09,2716.67,1350,4.29,?
0.07,0.09,-0.25,1000,1350,4.04,?
0.06,0.12,-0.36,2050,883.33,4.18,?
0.09,0.1,-0.36,1000,1550,4.3,?
0.07,0.07,-0.25,4575,1500,3.94,?
0.07,0.09,-0.49,2616.67,2975,4.07,?
0.15,0.1,-0.56,1183.33,2025,3.83,?
0.29,0.1,-0.47,2262.5,1620,3.54,?
0.27,0.15,-0.15,975,1550,3.97,?
0.15,0.05,-0.4,1480,1616.67,4.07,?
0.13,0.12,-0.55,1783.33,1887.5,4.25,?
0.04,0.04,0.28,250,800,4.61,?
0.01,0.07,0.07,800,1850,4.12,?
0.11,0.12,-0.11,2575,2550,4.14,?
0.06,0.12,-0.29,1600,3700,4.1,?
0.06,0.09,-0.26,1000,1525,4.43,?
0.09,0.07,-0.43,4250,3550,4.21,?
0.08,0.14,-0.52,4100,1850,4.22,?
0.2,0.11,-0.45,2525,2366.67,3.8,?
0.23,0.1,-0.12,2516.67,1825,3.55,?
0.25,0.14,-0.25,1950,1275,3.5,?
0.12,0.07,-0.09,2075,3100,4.33,?
0.03,0.09,-0.08,4675,3950,4.91,?
0,0.05,-0.29,987.5,1975,4.96,?
0,0.01,-0.04,1175,1250,6.95,?
0.06,0.05,-0.13,1700,1600,4.69,?
0.07,0.07,0.47,625,1016.67,5.06,?
0.11,0.08,0.12,3150,3425,3.55,?
0,0.02,-0.02,175,?,9.21,?
0.11,0.07,0.03,1250,1925,3.56,?
0,0.06,-0.07,?,?,8.95,?
0.1,0.1,0.13,1762.5,3900,3.89,?
0,0.02,-0.12,250,?,9.03,?
0.13,0.09,0.26,2000,2775,3.49,?
0.01,0.03,-0.08,533.33,475,7.98,?
0.11,0.09,-0.07,1225,4550,3.8,?
0,0.02,-0.1,333.33,375,8.96,?
0.1,0.08,-0.13,3200,3700,3.91,?
0,0.02,-0.02,?,?,9.46,?
0.11,0.09,-0.23,1400,575,3.74,?
0.01,0.02,-0.04,650,575,8.6,?
0.1,0.1,-0.26,2475,1866.67,3.84,?
0.01,0.02,-0.07,?,?,9.1,?
0.11,0.1,-0.28,1325,2050,3.55,?
0,0.01,0,225,225,8.96,?
0.1,0.1,-0.08,1800,3150,4.15,?
0.09,0.09,-0.1,725,2416.67,3.72,?
0.09,0.08,-0.35,1966.67,2425,4.43,?
0.11,0.1,1,2700,975,4.04,?
0.12,0.12,-0.75,2025,2000,5.76,?
0.09,0.14,-0.52,1050,2083.33,5.51,?
0.12,0.09,-0.37,2137.5,2700,5.28,?
0.11,0.08,-0.51,1720,1625,5.1,?
0.12,0.09,-0.26,3325,1850,5.11,?
0.17,0.06,-0.34,1650,2200,5.34,?
0.15,0.13,-0.56,4275,3200,5.37,?
0.13,0.1,-0.51,1300,1900,5.37,?
0.09,0.1,-0.2,1850,1850,5.05,?
0.1,0.08,-0.4,1740,2725,5.35,?
0.09,0.13,-0.53,2133.33,2133.33,5.41,?
0.09,0.1,-0.6,1920,3225,5.73,?
0.15,0.11,-0.59,1600,525,5.62,?
0.06,0.1,-0.46,1075,1800,5.4,?
0.1,0.13,-0.28,3175,3175,5.58,?
0.08,0.09,-0.36,1337.5,2150,5.28,?
0.11,0.14,-0.15,2200,2916.67,4.93,?
0.14,0.12,-0.17,4500,2250,4.79,?
0.1,0.07,-0.63,2175,2725,5.08,?
0.1,0.08,-0.3,1100,1100,4.99,?
0.09,0.1,-0.22,1687.5,1700,4.84,?
0.09,0.11,-0.1,2250,4475,5.26,?
0.07,0.11,-0.25,1650,1466.67,4.93,?
0.08,0.09,-0.12,1650,1662.5,5.35,?
0.09,0.08,-0.28,2600,3925,4.94,?
0.09,0.11,-0.24,1833.33,2550,4.94,?
0.11,0.13,-0.37,1400,2166.67,5.3,?
0.07,0.12,-0.27,1450,1100,5.25,?
0.1,0.09,-0.42,4225,2116.67,5.46,?
0.12,0.11,-0.38,1337.5,2437.5,5.01,?
0.09,0.12,-0.45,2500,2150,5.24,?
0.12,0.11,-0.34,1362.5,3850,5.09,?
0.02,0.01,0.5,433.33,250,8.23,?
0.13,0.13,-1.3,3200,2187.5,8.23,?
0.14,0.15,-1,2275,1475,8.76,?
0.08,0.14,-0.83,1150,2425,8.95,?
0.1,0.17,-0.7,745.45,2183.33,8.29,?
0.08,0.1,-0.55,1237.5,2287.5,8.27,?
0.07,0.09,-0.49,2033.33,1750,7.91,?
0.06,0.1,-1.38,1260,2200,7.48,?
0.12,0.07,-0.53,2700,2075,7.09,?
0.08,0.12,-0.77,750,2866.67,7.76,?
0.07,0.11,-1.32,2000,3475,7.44,?
0.1,0.07,-1.06,3183.33,3350,7.13,?
0.11,0.13,-1.14,1725,2950,8.12,?
0.11,0.08,-0.2,2450,2850,8.14,?
0.14,0.07,-1.13,2933.33,3125,7.39,?
0.12,0.07,-2.03,1316.67,2100,7.51,?
0.11,0.06,-0.47,3275,2150,7.26,?
0.11,0.07,-1.94,1566.67,2012.5,7.69,?
0.12,0.11,-1.49,1975,1516.67,7.23,?
0.11,0.07,-0.84,1733.33,2775,7.8,?
0.12,0.09,-0.92,1075,2233.33,6.84,?
0.14,0.07,-0.92,3525,1450,7.22,?
0.12,0.14,-0.52,2325,2400,6.9,?
0.09,0.16,-1.07,733.33,2000,6.9,?
0.07,0.07,-0.95,2425,1125,7.49,?
0.1,0.1,-1.61,2066.67,2383.33,7.31,?
0.11,0.11,-1.25,2416.67,2933.33,6.71,?
0.06,0.08,-0.74,1833.33,2925,8.63,?
0,0.11,-0.2,1733.33,2466.67,5.36,?
0,0.09,-0.38,1510,2950,5,?
0,0.12,-0.23,1193.75,2625,5.13,?
0,0.08,-0.23,1062.5,2975,5.28,?
0,0.13,-0.3,1887.5,4325,4.98,?
0,0.14,-0.43,2675,4575,4.62,?
0,0.13,-0.6,1262.5,533.33,5.04,?
0,0.12,-0.45,1300,1550,4.99,?
0,0.12,-0.43,1290,3225,4.93,?
0,0.13,-0.42,1241.67,4250,5.03,?
0.01,0.11,-0.35,2375,2675,4.82,?
0.07,0.09,-0.48,1175,1775,4.78,?
0.15,0.12,-0.47,1600,3175,4.29,?
0.12,0.12,-0.91,2225,2075,4.67,?
0.14,0.14,-0.64,800,866.67,4.62,?
0.14,0.12,-0.52,920,3125,4.51,?
0.18,0.1,-0.61,813.64,900,4.01,?
0.18,0.11,-0.34,880,1508.33,3.75,?
0.18,0.08,-0.24,2137.5,1100,4.41,?
0.18,0.08,-0.39,895,2766.67,4.34,?
0.17,0.09,-0.08,1100,3233.33,4.41,?
0.17,0.09,-0.37,653.33,2450,4.28,?
0.16,0.07,-0.11,950,2116.67,4.13,?
0.19,0.12,-0.43,865,1116.67,4.02,?
0.19,0.09,-0.08,966.67,2800,4.39,?
0.17,0.12,-0.6,716.67,1078.57,4.23,?
0.16,0.07,-0.22,804.55,1300,4.24,?
0.21,0.1,-0.22,981.25,1487.5,4.21,?
0.19,0.09,0.11,1675,3525,3.3,?
0.15,0.15,-0.84,3750,3300,8.02,?
0.16,0.07,-0.65,1025,2150,7.22,?
0.17,0.09,-0.24,990,1450,7.27,?
0.12,0.07,-0.66,1762.5,4225,8.6,?
0.09,0.11,-0.66,500,825,8.49,?
0.13,0.08,-0.41,1533.33,3975,7.9,?
0.07,0.09,-0.51,1283.33,1700,8.32,?
0.1,0.09,-0.54,2462.5,1150,7.81,?
0.1,0.1,-1,3975,3975,8.37,?
0.08,0.11,-0.45,1483.33,2575,7.88,?
0.08,0.09,-0.13,2883.33,2150,7.68,?
0.09,0.07,-0.73,3775,1450,7.71,?
0.1,0.12,-1.23,3200,3225,8.11,?
0.04,0.1,-0.98,3375,2250,8.91,?
0.07,0.08,-0.62,1760,1300,7.88,?
0.08,0.12,-1.11,2200,2200,8.6,?
0.05,0.09,-1.2,1850,1825,8.76,?
0.07,0.1,-0.41,4050,1025,7.55,?
0.15,0.11,-1.27,2466.67,2675,6.93,?
0.14,0.09,-1.16,1450,3250,7.03,?
0.1,0.1,-0.45,1266.67,3875,6.98,?
0.12,0.13,-0.31,1475,662.5,7.54,?
0.15,0.09,-0.85,2433.33,1275,6.85,?
0.1,0.13,-0.69,2725,2725,6.81,?
0.1,0.12,-0.96,3200,675,7.49,?
0.11,0.11,-0.78,2283.33,1183.33,6.48,?
0.07,0.11,0.23,1125,3250,6.36,?
0.04,0.09,0.25,4625,3550,7.82,?
0.13,0.13,0.1,420.83,3600,7.25,?
0.02,0.08,0.49,4275,2775,8.8,?
0.21,0.09,0.63,805.56,3150,6.91,?
0.03,0.12,1.23,1225,975,4.72,?
0.14,0.09,0.81,1925,2583.33,5.62,?
0.11,0.11,0.78,3675,2450,5.32,?
0.1,0.05,0.78,1250,1850,6.51,?
0.02,0.06,0.32,2075,2062.5,7.41,?
0.12,0.14,0.07,450,3750,7.05,?
0.22,0.12,0.56,397.92,4275,6.11,?
0.02,0.06,0.3,150,925,6.93,?
0.08,0.1,1.59,125,2150,5.01,?
0.09,0.11,1.13,475,3775,4.93,?
0.11,0.11,0.86,3425,3600,5.02,?
0.07,0.13,0.82,3425,2150,4.82,?
0.15,0.06,1.59,2625,1275,5.96,?
0.02,0,1.55,366.67,287.5,2.15,?
0.1,0.07,0.87,300,2062.5,6.92,?
0.05,0.1,-0.02,1075,2700,7.14,?
0.18,0.13,0.39,450,1335.71,7.34,?
0.07,0.1,0.32,725,1100,7,?
0.17,0.11,1.09,4250,2533.33,4.81,?
0.1,0.1,1.08,2600,833.33,4.84,?
0.15,0.1,1.02,2025,1575,4.9,?
0.04,0.1,1.16,3300,2225,5.07,?
0.03,0.03,0.49,1050,1150,6.83,?
0.13,0.09,0.69,2225,2800,5.94,?
0.12,0.12,0.78,550,1075,6.45,?
0.08,0.1,0.95,2125,1200,6.49,?
0.06,0.09,0.79,2300,1137.5,5.59,?
0.11,0.11,1.25,325,3925,6,?
0.06,0.13,1.22,3275,1550,5.11,?
0.12,0.13,1.12,3800,1700,5.18,?
0.1,0.05,0.92,1725,3525,5.32,?
0.02,0.02,1.23,510.71,275,0.21,?
0.04,0.01,1.21,540.91,1037.5,0.07,?
